date,window_size,up_to_days,alpha,lambda_val,num_simulations,horizon_end_date,num_active_positions,num_active_stock_positions,num_active_option_positions,position_tickers,historical_1-day-scaled_var,historical_1-day-scaled_es,historical_n-day_var,historical_n-day_es,monte_carlo_var,monte_carlo_es,parametric_var,parametric_es
2008-07-14,252,10,0.95,0.99,10000,2008-07-24,1,1,0,['MSFT'],190.58683282505095,272.3620525233541,208.49783149577905,257.1623917608108,195.20886619339356,233.18094007285808,206.55462037819564,251.43721393410436
2008-07-15,252,10,0.95,0.99,10000,2008-07-25,1,1,0,['MSFT'],190.3858506294947,272.3620525233542,208.17653420834532,257.16239176081075,202.18024489315684,242.8784955239963,210.413151242655,257.97988272803684
2008-07-16,252,10,0.95,0.99,10000,2008-07-26,1,1,0,['MSFT'],190.18283831075098,272.3620525233542,207.8519914937658,257.1623917608108,206.00627615140192,254.24798200109828,214.54281774538407,265.20644623804725
2008-07-17,252,10,0.95,0.99,10000,2008-07-27,1,1,0,['MSFT'],189.97777536252502,272.3620525233542,207.52417056994813,257.16239176081075,203.6480779176198,249.06328880066786,213.91924452115296,264.86355051467996
2008-07-18,252,10,0.95,0.99,10000,2008-07-28,1,1,0,['MSFT'],210.96060905724272,312.9166377463152,207.19303832366762,257.16239176081075,206.77151200780364,251.8026960735498,222.29740935689165,272.45028579591354
2008-07-21,252,10,0.95,0.99,10000,2008-07-31,1,1,0,['MSFT'],207.96664091612772,307.76817464281083,206.85856130722266,257.1623917608108,209.27548096834488,252.89248901955247,221.04202287129522,270.5523426282512
2008-07-22,252,10,0.95,0.99,10000,2008-08-01,1,1,0,['MSFT'],205.9555680469778,307.76817464281083,206.2533887405335,253.7260559738,206.05714235324808,247.5371586177219,219.83712541821552,269.4381357130236
2008-07-23,252,10,0.95,0.99,10000,2008-08-02,1,1,0,['MSFT'],203.92418131046273,307.76817464281083,205.48762264782016,253.72605597380007,205.94742785205094,249.16389511176985,220.61507685240136,271.6069250797642
2008-07-24,252,10,0.95,0.99,10000,2008-08-03,1,1,0,['MSFT'],225.64708756724158,318.669340638314,204.71412154406931,253.72605597380004,211.40609969549476,252.28992535855213,221.79089438570728,271.4836378381137
2008-07-25,252,10,0.95,0.99,10000,2008-08-04,1,1,0,['MSFT'],225.64705496206918,318.66934063831394,203.93280729785636,253.72605597380007,210.99660640551605,255.08107845058873,222.88087168275246,274.26719394212296
2008-07-28,252,10,0.95,0.99,10000,2008-08-07,1,1,0,['MSFT'],225.64702202755157,318.669340638314,203.4951762300911,251.80266145373358,208.10826290004348,253.25125000318113,222.6728541089484,272.8908213174057
2008-07-29,252,10,0.95,0.99,10000,2008-08-08,1,1,0,['MSFT'],225.64698876036206,318.66934063831394,203.1823966662503,251.8026614537336,212.58219438551725,257.260991990303,223.21959173441604,274.776971440208
2008-07-30,252,10,0.95,0.99,10000,2008-08-09,1,1,0,['MSFT'],225.64695515714035,318.66934063831394,202.86645771287579,251.8026614537335,212.19300835712934,257.1909376890209,222.30670538364254,273.8551044560273
2008-07-31,252,10,0.95,0.99,10000,2008-08-10,1,1,0,['MSFT'],225.64692121449215,318.66934063831394,202.5473274569419,251.80266145373358,209.31450196426576,253.09257220765994,221.73252675535352,272.2430417897166
2008-08-01,252,10,0.95,0.99,10000,2008-08-11,1,1,0,['MSFT'],225.37580339181,302.17168160444675,202.2249736630693,251.80266145373358,206.8341683763372,250.86770697135273,220.1533881111835,269.90709304058913
2008-08-04,252,10,0.95,0.99,10000,2008-08-14,1,1,0,['MSFT'],225.0360887310299,302.17168160444675,201.8993637702687,251.80266145373352,207.52389113380042,250.32046097810613,219.08772673667164,268.2732852357265
2008-08-05,252,10,0.95,0.99,10000,2008-08-15,1,1,0,['MSFT'],224.69294260902984,302.1716816044469,201.1313182457819,248.75227744562903,211.28741790185896,257.39779320471695,222.0895806358584,273.7504308927325
2008-08-06,252,10,0.95,0.99,10000,2008-08-16,1,1,0,['MSFT'],224.34633036458536,302.17168160444675,199.874453032781,248.75227744562903,212.98776792020882,260.8904226203548,224.0651453206479,277.7018307827136
2008-08-07,252,10,0.95,0.99,10000,2008-08-17,1,1,0,['MSFT'],223.99621698635858,302.1716816044468,198.60489221156791,248.75227744562903,214.14060826611237,262.24212065363696,223.02949296946247,277.2363253304046
2008-08-08,252,10,0.95,0.99,10000,2008-08-18,1,1,0,['MSFT'],223.72634668565468,298.37549703388646,197.32369207210465,246.99451141676045,211.137635580017,258.0651616737897,223.54353023340835,279.4242335975946
2008-08-11,252,10,0.95,0.99,10000,2008-08-21,1,1,0,['MSFT'],223.46794789196971,298.3754970338864,196.09906135956965,246.9945114167605,208.83402968059227,258.06613185542517,222.50621375143953,277.6962678973316
2008-08-12,252,10,0.95,0.99,10000,2008-08-22,1,1,0,['MSFT'],223.095856346103,296.2732179399604,194.86206063983732,246.99451141676045,208.45476447065172,256.64762710800346,221.38013203934713,276.76788277075576
2008-08-13,252,10,0.95,0.99,10000,2008-08-23,1,1,0,['MSFT'],219.44701142730878,296.2732179399604,193.61256496334002,246.99451141676045,205.82953745334513,253.56317170088806,220.28200336169039,275.01596525325266
2008-08-14,252,10,0.95,0.99,10000,2008-08-24,1,1,0,['MSFT'],215.7613094891328,296.2732179399604,192.3504481183933,246.99451141676045,210.1812080973389,259.31628458558214,218.94890848540274,273.40273191465315
2008-08-15,252,10,0.95,0.99,10000,2008-08-25,1,1,0,['MSFT'],212.03837823845004,296.2732179399604,191.07558261844704,246.9945114167605,210.43073179273276,257.55749130155635,218.07894773314516,272.0591453358276
2008-08-18,252,10,0.95,0.99,10000,2008-08-28,1,1,0,['MSFT'],208.27784162159872,296.2732179399603,190.22924123239767,243.8731561943385,208.42965309375057,251.2976257835864,217.01121884941765,270.50049328114073
2008-08-19,252,10,0.95,0.99,10000,2008-08-29,1,1,0,['MSFT'],205.76222895342218,292.73518997972945,190.08620805471926,243.8731561943385,204.1575978579343,249.34030880774347,215.99589834714848,268.7713052904648
