date,window_size,up_to_days,alpha,lambda_val,num_simulations,horizon_end_date,num_active_positions,num_active_stock_positions,num_active_option_positions,position_tickers,historical_1-day-scaled_var,historical_1-day-scaled_es,historical_n-day_var,historical_n-day_es,monte_carlo_var,monte_carlo_es,parametric_var,parametric_es,realized_end_date,realized_pnl
2008-06-24,252,10,0.95,0.99,10000,2008-07-04,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",195.84760951604287,243.18844305011265,224.1742738928508,248.29636433587788,173.8760065585575,215.92685287217085,185.96676761364856,232.71297062561777,2008-07-03,-76.39191627502447
2008-06-25,252,10,0.95,0.99,10000,2008-07-05,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",195.3273037652944,243.18844305011262,223.08914762430888,247.13032365410487,171.39132895401917,212.0774430194889,185.93964225338775,233.7851883307665,2008-07-03,-117.61876106262207
2008-06-26,252,10,0.95,0.99,10000,2008-07-06,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",205.95199394324064,242.88863030373878,221.9476032101708,247.13032365410493,178.68547861565273,219.62172289628012,188.96144480780364,235.74451875233328,2008-07-03,-52.124176025390625
2008-06-27,252,10,0.95,0.99,10000,2008-07-07,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",205.43965825301632,242.88863030373886,220.79452804437472,247.13032365410487,174.31477357869747,215.55501331677056,187.965783328697,234.56121925746513,2008-07-07,-30.675754547118963
2008-06-30,252,10,0.95,0.99,10000,2008-07-10,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",204.92214745480996,242.88863030373886,219.62980565468172,247.13032365410493,176.28243128881383,219.64982474159376,187.33676234600537,233.38000083140628,2008-07-10,-36.16742134094255
2008-07-01,252,10,0.95,0.99,10000,2008-07-11,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",204.39940927480353,242.88863030373886,218.5312745403405,245.85410909155064,174.5081671234335,217.7110859269066,186.8661963429433,232.95385541711616,2008-07-11,-65.36724090576178
2008-07-02,252,10,0.95,0.99,10000,2008-07-12,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",203.8713909111607,242.88863030373878,217.664868068576,245.85410909155064,180.8192865683592,223.06429111775773,189.58311213581507,234.7093725031506,2008-07-11,-4.48769569396978
2008-07-03,252,10,0.95,0.99,10000,2008-07-13,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",203.33803902869317,242.88863030373886,216.78971001628867,245.85410909155053,174.99078631236395,215.33569922654232,188.75037570762927,234.16043019878157,2008-07-11,-21.320543289184624
2008-07-07,252,10,0.95,0.99,10000,2008-07-17,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",202.7992997534735,242.88863030373886,215.90571198367516,245.85410909155064,177.26974056711256,215.6551695532078,188.00803887220428,233.90946836529207,2008-07-17,35.863370895385614
2008-07-08,252,10,0.95,0.99,10000,2008-07-18,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",202.25511866739296,242.88863030373886,215.01278467800498,245.85410909155055,176.0423901056244,215.93359639719273,187.10426695714426,233.27831584052618,2008-07-18,-97.29856491088873
