date,window_size,up_to_days,alpha,lambda_val,num_simulations,horizon_end_date,num_active_positions,num_active_stock_positions,num_active_option_positions,position_tickers,historical_1-day-scaled_var,historical_1-day-scaled_es,historical_n-day_var,historical_n-day_es,monte_carlo_var,monte_carlo_es,parametric_var,parametric_es,realized_end_date,realized_pnl
2022-04-08,252,10,0.95,0.99,10000,2022-04-18,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",5628.969457822114,6174.018788860751,4662.115454880484,4998.715996302764,4692.975158213994,5796.111192382103,4931.952799019929,6231.955213247243,2022-04-18,-2663.024139404297
2022-04-11,252,10,0.95,0.99,10000,2022-04-21,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",5795.197049805294,6388.200828659494,4666.144606648499,4998.715996302764,4881.87903345205,5985.286524319689,5071.474030192495,6351.804447178698,2022-04-21,-570.5751037597647
2022-04-12,252,10,0.95,0.99,10000,2022-04-22,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",5790.782775184107,6388.200828659494,4854.4171964090065,5269.077902642397,4883.037241745476,6075.6343544353285,5048.969989660006,6319.718629109367,2022-04-22,-2120.277557373046
2022-04-13,252,10,0.95,0.99,10000,2022-04-23,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",5786.323911930382,6388.200828659493,4849.961030869414,5269.077902642396,4683.042265002289,5862.817443675034,5031.369288589911,6327.120286275565,2022-04-22,-3190.5270385742188
2022-04-14,252,10,0.95,0.99,10000,2022-04-24,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",5781.820009653891,6388.200828659494,4875.803436564158,5269.077902642396,5010.373530363891,6098.913533857094,5130.53710176028,6404.7044539573,2022-04-22,-1497.6463317871085
2022-04-18,252,10,0.95,0.99,10000,2022-04-28,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",5777.270613415011,6388.200828659494,4900.563414876822,5269.077902642396,4868.230595253484,6106.39427414393,5099.7773724848685,6369.576649419462,2022-04-28,126.3800048828125
2022-04-19,252,10,0.95,0.99,10000,2022-04-29,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",5772.6752636787705,6388.200828659494,4952.283017676447,5315.480245083225,4903.396263140078,6018.440244293656,5081.273390819678,6371.669192033979,2022-04-29,-3131.695251464843
2022-04-20,252,10,0.95,0.99,10000,2022-04-30,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",5768.033496268426,6388.200828659495,4944.447886146065,5315.480245083225,4937.798363833348,6085.942608023448,5049.686751833997,6332.597447448649,2022-04-29,-3092.0872497558585
2022-04-21,252,10,0.95,0.99,10000,2022-05-01,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",5763.344842318583,6388.200828659493,4936.533611872951,5315.480245083224,4838.683562155314,6002.660359376553,5067.881400778322,6330.581903199604,2022-04-29,-2244.2063903808585
2022-04-22,252,10,0.95,0.99,10000,2022-05-02,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",5758.6088282278315,6388.200828659494,5008.642373688425,5311.972473844713,4908.393967593505,5992.987168972898,5157.049475169406,6398.311561849979,2022-05-02,265.4093933105469
