date,window_size,up_to_days,alpha,lambda_val,num_simulations,horizon_end_date,num_active_positions,num_active_stock_positions,num_active_option_positions,position_tickers,historical_1-day-scaled_var,historical_1-day-scaled_es,historical_n-day_var,historical_n-day_es,monte_carlo_var,monte_carlo_es,parametric_var,parametric_es,realized_end_date,realized_pnl,historical_1-day-scaled_var_exceeded,historical_1-day-scaled_var_exceed_amount,historical_1-day-scaled_es_exceeded,historical_1-day-scaled_es_exceed_amount,historical_n-day_var_exceeded,historical_n-day_var_exceed_amount,historical_n-day_es_exceeded,historical_n-day_es_exceed_amount,monte_carlo_var_exceeded,monte_carlo_var_exceed_amount,monte_carlo_es_exceeded,monte_carlo_es_exceed_amount,parametric_var_exceeded,parametric_var_exceed_amount,parametric_es_exceeded,parametric_es_exceed_amount
2026-01-16,100,10,0.95,0.99,10000,2026-01-26,2,1,1,['AAPL'],1348.4249457066696,1823.0968584521238,1347.8983650334837,1443.0282898975954,1431.8876817282946,1779.3145836898116,1425.281461078359,1809.1884328116303,2026-01-26,-11.942437780167097,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2026-01-20,100,10,0.95,0.99,10000,2026-01-30,2,1,1,['AAPL'],1546.4339294965423,2396.590085393105,1416.3817340511703,1678.400085220522,1586.2489165586046,1960.0681967432704,1620.2491884809624,2016.1042818496346,2026-01-30,1269.2812674972934,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2026-01-21,100,10,0.95,0.99,10000,2026-01-31,2,1,1,['AAPL'],1545.8269151506358,2396.383229104651,1456.3026980545212,1681.6768382131615,1578.6325702383076,1958.3868291273814,1614.5765555092003,2009.6222559499954,2026-01-30,1174.7465672636013,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2026-01-22,100,10,0.95,0.99,10000,2026-02-01,2,1,1,['AAPL'],1545.2550641183534,2396.2405366407197,1455.303879205542,1681.5843248435347,1536.3310869143763,1888.103777522753,1597.6609167636357,1991.9894523351995,2026-01-30,1104.9851878889917,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2026-01-23,100,10,0.95,0.99,10000,2026-02-02,2,1,1,['AAPL'],1544.8129432665555,2396.305954982485,1454.4086014495329,1681.61613344607,1500.7291987711644,1874.3957487739501,1573.9952347103815,1965.0501719513907,2026-02-02,2181.4763226380924,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2026-01-26,100,10,0.95,0.99,10000,2026-02-05,2,1,1,['AAPL'],1543.267193668279,2394.6645395377973,1452.417294177525,1680.4120383246777,1563.6385321722016,1924.3769235930713,1578.7899347521932,1986.6971833127973,2026-02-05,2033.1308580240773,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2026-01-27,100,10,0.95,0.99,10000,2026-02-06,2,1,1,['AAPL'],1542.3813513916675,2394.060410907048,1451.0755390479717,1679.951931673531,1503.9175554112187,1865.9990095334524,1560.7148641704741,1973.4508929376575,2026-02-06,1969.1061985349709,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2026-01-28,100,10,0.95,0.99,10000,2026-02-07,2,1,1,['AAPL'],1542.1228827236964,2394.4385733462636,1450.3799642629847,1680.2501385257192,1495.7242873832618,1887.2686948533967,1575.2090081035303,1984.1952785515145,2026-02-06,2150.4224037628564,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2026-01-29,100,10,0.95,0.99,10000,2026-02-08,2,1,1,['AAPL'],1541.3786018982137,2394.0669113859794,1449.1559052529624,1679.9451619710449,1500.519183952856,1869.2561623661823,1540.2612500525322,1950.629384839677,2026-02-06,1968.1426364046838,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2026-01-30,100,10,0.95,0.99,10000,2026-02-09,2,1,1,['AAPL'],1540.7001190391675,2393.8147327191646,1448.025104968552,1679.7617246446312,1455.5186599622618,1854.189027532489,1492.2874907710186,1900.9137303238356,2026-02-09,1528.1359864978135,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
