date,window_size,up_to_days,alpha,lambda_val,num_simulations,horizon_end_date,num_active_positions,num_active_stock_positions,num_active_option_positions,position_tickers,historical_1-day-scaled_var,historical_1-day-scaled_es,historical_n-day_var,historical_n-day_es,monte_carlo_var,monte_carlo_es,parametric_var,parametric_es
2026-01-16,100,10,0.95,0.99,10000,2026-01-26,2,1,1,['AAPL'],1353.4109101801762,1828.9271920998672,1351.8640061235626,1447.5840747816824,1392.3715345330972,1748.2414006175823,1430.0197337623736,1815.3810945434493
2026-01-20,100,10,0.95,0.99,10000,2026-01-30,2,1,1,['AAPL'],1548.5687221271462,2397.679273726877,1418.7761348229717,1679.8275774218353,1567.0067619376202,1940.377282459194,1623.1327865974986,2019.874265796285
2026-01-21,100,10,0.95,0.99,10000,2026-01-31,2,1,1,['AAPL'],1548.2184275963791,2397.964641823983,1458.4322835072348,1683.1299965583544,1562.281277280378,1917.5186180157928,1617.7930056211846,2013.8114841607755
2026-01-22,100,10,0.95,0.99,10000,2026-02-01,2,1,1,['AAPL'],1547.7860866709257,2398.1360572241338,1457.6328037732894,1683.2311493772884,1565.4391076000554,1933.4503977223928,1601.0462069717564,1996.39844299531
2026-01-23,100,10,0.95,0.99,10000,2026-02-02,2,1,1,['AAPL'],1547.1763859423743,2398.03229907842,1456.6925014530375,1683.1847389873165,1553.9341559512395,1901.772324959716,1577.2051494277732,1969.2415462842266
2026-01-26,100,10,0.95,0.99,10000,2026-02-05,2,1,1,['AAPL'],1547.4451093044288,2399.435004573637,1456.6398757368913,1684.1800901470688,1539.4500093014792,1898.1940924787841,1583.8909317168677,1993.3082730312394
2026-01-27,100,10,0.95,0.99,10000,2026-02-06,2,1,1,['AAPL'],1547.1762528990225,2399.9449678487003,1456.0297115632948,1684.5425277424947,1541.9868191267717,1934.1054097199954,1566.4207972010056,1980.8582202979908
2026-01-28,100,10,0.95,0.99,10000,2026-02-07,2,1,1,['AAPL'],1546.4253458731348,2399.61067300631,1454.9060242878038,1684.310779510355,1544.6952636117944,1953.4491297742725,1580.534715975152,1991.095940380271
2026-01-29,100,10,0.95,0.99,10000,2026-02-08,2,1,1,['AAPL'],1546.0087176522413,2399.8820247389144,1454.146901008503,1684.522412171597,1524.0742084936073,1902.345390545072,1545.8302397276334,1957.8723314017896
2026-01-30,100,10,0.95,0.99,10000,2026-02-09,2,1,1,['AAPL'],1545.5701102189676,2400.126899416612,1453.3361851801878,1684.6832730584892,1445.9476461788443,1840.6887041755663,1497.9595486313049,1908.3306075246146
2026-02-02,100,10,0.95,0.99,10000,2026-02-12,2,1,1,['AAPL'],1545.927416778304,2401.9404817814548,1453.3942428763294,1685.9180877237309,1400.3615199920932,1821.1347039076973,1429.7505595133707,1880.045317716677
2026-02-03,100,10,0.95,0.99,10000,2026-02-13,2,1,1,['AAPL'],1400.2395855896352,2150.061991510115,1452.3528786350682,1685.8301980724236,1392.7063954151454,1810.4008492878904,1447.5509182279875,1893.5131429879082
2026-02-04,100,10,0.95,0.99,10000,2026-02-14,2,1,1,['AAPL'],1388.6790789728163,2150.7896994078615,1451.8508379052175,1686.4329114103944,1424.4627991014113,1896.970049793641,1440.4152929798108,1907.2044665025037
2026-02-05,100,10,0.95,0.99,10000,2026-02-15,2,1,1,['AAPL'],1376.470170646627,2150.538722619859,1450.7423114562548,1686.2839431095176,1421.7737438176346,1868.4335586299842,1457.1360339232924,1920.0326110905803
2026-02-06,100,10,0.95,0.99,10000,2026-02-16,2,1,1,['AAPL'],1364.4889299878419,2150.94442489627,1449.957769635074,1686.5628283620206,1405.9823175079957,1855.0797445725486,1441.5434352269656,1906.6962665818937
2026-02-09,100,10,0.95,0.99,10000,2026-02-19,2,1,1,['AAPL'],1359.7474439614348,2031.4469413018592,1448.7876734261529,1686.3608479033392,1463.9684099921228,1872.9002081965143,1491.026946887197,1952.2155011067953
2026-02-10,100,10,0.95,0.99,10000,2026-02-20,2,1,1,['AAPL'],1357.6203318236119,2031.4618803296576,1447.7532896767427,1686.3448561697833,1437.1221847116208,1887.771218206482,1488.2625061889664,1945.7674600682724
2026-02-11,100,10,0.95,0.99,10000,2026-02-21,2,1,1,['AAPL'],1355.64294147221,2031.7808391570943,1446.9046194662094,1686.5869510235734,1470.2069918050852,1887.404873949196,1486.0898239685205,1937.2004547727122
2026-02-12,100,10,0.95,0.99,10000,2026-02-22,2,1,1,['AAPL'],1553.3143524868392,3089.9990603721653,1444.610273305247,1684.9942419934237,1788.0328308833782,2212.8456416000345,1851.308038207045,2320.4077612106817
2026-02-13,100,10,0.95,0.99,10000,2026-02-23,2,1,1,['AAPL'],1945.1183382136624,3461.3396696191417,1442.9989807889795,1684.309083743458,1865.9790620025224,2266.063491679304,1921.8409544478484,2387.7247746527833
2026-02-17,100,10,0.95,0.99,10000,2026-02-27,2,1,1,['AAPL'],1917.7999619182926,3463.5752977909187,1442.7782425931102,1685.3463790414896,1829.309109682082,2282.4247865906286,1903.8970493397,2401.104654372348
2026-02-18,100,10,0.95,0.99,10000,2026-02-28,2,1,1,['AAPL'],1889.2577340361856,3463.620599447135,1441.7318337864533,1685.380869641536,1854.3509797400795,2288.3217267793198,1909.5380803513244,2402.9154317306607
2026-02-19,100,10,0.95,0.99,10000,2026-03-01,2,1,1,['AAPL'],1866.35763399197,2974.6521765944294,1490.1549890010401,1706.2857722693461,1849.5396032351016,2298.8846858172715,1938.291709238605,2425.86068422371
2026-02-20,100,10,0.95,0.99,10000,2026-03-02,2,1,1,['AAPL'],1847.5404747950552,2975.4565944029914,1487.520551480829,1706.755320665203,1839.9709407722466,2295.36547455791,1905.6857171506733,2402.742009827275
