date,window_size,up_to_days,alpha,lambda_val,num_simulations,horizon_end_date,num_active_positions,num_active_stock_positions,num_active_option_positions,position_tickers,historical_1-day-scaled_var,historical_1-day-scaled_es,historical_n-day_var,historical_n-day_es,monte_carlo_var,monte_carlo_es,parametric_var,parametric_es,realized_end_date,realized_pnl
2020-10-26,252,10,0.95,0.99,10000,2020-11-05,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",2384.03007631918,4036.4907566487436,2347.016887011503,3010.5171386318634,2474.44047562811,3138.8778333996897,2580.8239522552603,3339.43007085149,2020-11-05,1282.2099304199219
2020-10-27,252,10,0.95,0.99,10000,2020-11-06,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",2365.690318930785,4036.4907566487436,2335.502431435511,3010.5171386318634,2453.554190853487,3114.8542538540482,2569.5164658642902,3335.528442740104,2020-11-06,961.9538116455078
2020-10-28,252,10,0.95,0.99,10000,2020-11-07,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",2781.1305652497153,4263.792703390196,2323.8716682274385,3010.517138631864,2406.4400814441983,3033.8741097066186,2628.395532527307,3371.365751070734,2020-11-06,2121.902313232422
2020-10-29,252,10,0.95,0.99,10000,2020-11-08,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",2765.470975495193,4263.792703390196,2312.123422562718,3010.5171386318634,2471.99230935257,3101.3648689790843,2635.2890683639994,3397.0607995928353,2020-11-06,1555.9524536132826
2020-10-30,252,10,0.95,0.99,10000,2020-11-09,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",2749.6532080663824,4263.792703390197,2300.25650774987,3010.517138631864,2521.1667134758254,3176.9676824310673,2639.5011126373483,3379.592879089706,2020-11-09,1719.9961853027357
2020-11-02,252,10,0.95,0.99,10000,2020-11-12,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",2733.675665208999,4263.792703390195,2288.2697251106288,3010.5171386318634,2464.98207831797,3105.642597310854,2628.493438874922,3364.6465368373065,2020-11-12,1835.7524871826158
2020-11-03,252,10,0.95,0.99,10000,2020-11-13,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",2717.5367330298222,4263.792703390196,2276.1618638588707,3010.5171386318634,2416.6589582729735,3058.6394942137063,2625.549854683357,3372.2674439880493,2020-11-13,1545.8705902099596
2020-11-04,252,10,0.95,0.99,10000,2020-11-14,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",2694.3995165544566,4012.725183846964,2263.9317009783063,3010.5171386318634,2462.1058670682237,3193.387804135893,2666.888937144986,3456.944169865147,2020-11-13,483.4421539306655
2020-11-05,252,10,0.95,0.99,10000,2020-11-15,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",2662.0142412616597,4012.725183846964,2251.578001098949,3010.5171386318634,2564.548854149916,3206.937696583337,2682.567264620359,3499.6263201030574,2020-11-13,-266.868057250978
2020-11-06,252,10,0.95,0.99,10000,2020-11-16,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",2629.3018419760065,4012.7251838469624,2249.7099126143885,2896.7919113482567,2516.772079865867,3256.144297204487,2673.2449348062687,3486.2954804207357,2020-11-16,-131.99943542480327
2020-11-09,252,10,0.95,0.99,10000,2020-11-19,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",2596.2590144147402,4012.7251838469624,2248.516309854386,2896.7919113482567,2539.499615943182,3259.9667317292474,2674.719721025769,3470.9171439874635,2020-11-19,-37.08465576171875
2020-11-10,252,10,0.95,0.99,10000,2020-11-20,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",2574.2638680945615,3962.7307835117304,2247.3106505008477,2896.7919113482567,2489.8239274743837,3169.1985207500875,2674.3163480226826,3456.02727320026,2020-11-20,127.9388427734375
2020-11-11,252,10,0.95,0.99,10000,2020-11-21,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",2553.780260585152,3962.7307835117313,2246.092812770001,2896.7919113482567,2478.2909540470064,3172.7784319729026,2682.6992555377683,3485.290391987619,2020-11-20,-493.03657531738423
2020-11-12,252,10,0.95,0.99,10000,2020-11-22,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",2533.089747949385,3962.7307835117304,2244.8626736479337,2896.7919113482576,2529.093308318585,3205.2272679744137,2672.380536876259,3468.3765901905863,2020-11-20,-406.25030517578267
2020-11-13,252,10,0.95,0.99,10000,2020-11-23,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",2512.1902402364894,3962.7307835117313,2243.6201088781686,2896.7919113482576,2494.5812314880714,3178.527050859005,2662.5636760607626,3457.351973691707,2020-11-23,-871.9400024414076
2020-11-16,252,10,0.95,0.99,10000,2020-11-26,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",2491.0796263850793,3962.7307835117313,2242.3649929491135,2896.7919113482576,2461.171944683368,3132.7616497079384,2652.851369935152,3448.435067119137,2020-11-25,-563.684844970706
2020-11-17,252,10,0.95,0.99,10000,2020-11-27,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",2469.755774009918,3962.7307835117313,2241.0971990813805,2896.7919113482567,2524.5240842880144,3196.1202080418557,2645.4907377508175,3430.4455403925253,2020-11-27,-170.91873168945028
2020-11-18,252,10,0.95,0.99,10000,2020-11-28,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",2448.216529186522,3962.7307835117313,2239.816599214984,2896.7919113482567,2524.274690677046,3149.3675978817464,2638.436327635178,3411.328071854693,2020-11-27,127.60406494140767
2020-11-19,252,10,0.95,0.99,10000,2020-11-29,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",2426.459716233597,3962.7307835117313,2238.523063996401,2896.7919113482567,2517.692200178968,3224.562869487079,2626.7240411525618,3400.5322875100105,2020-11-27,-22.537994384764204
2020-11-20,252,10,0.95,0.99,10000,2020-11-30,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",2404.4831374932696,3962.7307835117317,2237.2164627655097,2896.7919113482567,2497.4445090910294,3139.4178937258207,2620.1022041149845,3383.007802645633,2020-11-30,369.26635742187784
2020-11-23,252,10,0.95,0.99,10000,2020-12-03,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",2382.2845731091,3962.7307835117294,2235.8966635423867,2896.7919113482567,2429.9529137751,3082.664693651451,2617.3367308329266,3365.942279021504,2020-12-03,1221.9956207275438
2020-11-24,252,10,0.95,0.99,10000,2020-12-04,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",2359.861780801857,3962.7307835117313,2234.56353301398,2896.7919113482567,2485.375834819215,3130.925725084394,2610.3756816429727,3367.6946132050193,2020-12-04,801.5454101562491
2020-11-25,252,10,0.95,0.99,10000,2020-12-05,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",2337.212495643027,3962.7307835117313,2232.8850271302863,2811.175586651414,2446.395511612306,3120.3314167346994,2601.1958515353067,3357.6149251845914,2020-12-04,717.0883941650409
2020-11-27,252,10,0.95,0.99,10000,2020-12-07,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",2314.3344298260263,3962.7307835117313,2229.7536628354696,2811.175586651414,2511.159500545909,3168.0236659464244,2588.7029853762074,3346.0806354760307,2020-12-07,695.9925079345708
2020-11-30,252,10,0.95,0.99,10000,2020-12-10,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",2291.225272435117,3962.7307835117304,2226.5906685982814,2811.1755866514145,2420.271454563836,3100.0005721634448,2577.958174186267,3336.8800639559745,2020-12-10,257.27706909179545
2020-12-01,252,10,0.95,0.99,10000,2020-12-11,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",2267.8826892119755,3962.7307835117304,2223.3957249243535,2811.1755866514145,2455.8120584574544,3126.4153145814676,2573.888287600495,3348.305596134747,2020-12-11,-201.94580078124858
